SummaryId,AutogeneratedFinanceSummary,Unnamed1,Unnamed2,Unnamed3,Unnamed4
1,Detected Pnl Sheet,Sheet1,,,
2,Detected PnL Sheet,Sheet1 (failed to read:'Series' object has no attribute 'select_dtypes'),,,
3,Detected Return/Price Sheet,,,,
4,File Sheet Count,1,,,
5,Sheets,Sheet1,,,
6,Sample Table Preview,,,,
7,Unnamed: 0,Sample PnL(Profit And Loss) Data,Unnamed: 2,Unnamed: 3,Unnamed: 4
8,,Quarter,Revenue,Cost,Profit
9,,Q1 2024,100000,70000,30000
10,,Q2 2024,120000,80000,40000
11,,Q3 2024,140000,95000,45000
12,,Q4 2024,160000,110000,50000
